,BUS46 C-G 50 FAULT DATA MISS ,,0,0,0,0,0,0,0.851254104,0.831692985,0.853469335,0.779923077,0.907790692,1.143963987,0.853526058,0.846673279,0.856923104,0.573117666,0.621732357,0.878828352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8470558,0.831466425,0.85206058,0.513524681,0.57004586,0.546946226,0.825759856,0.826420418,0.84291828,0.543991442,0.578524088,0.466533333,0.851130122,0.845812693,0.856336503,0.571238396,0.619925413,0.877931238
,BUS46 A-G 10 FAULT DATA MISS ,,0,0,0,0,0,0,0.405062421,0.837956402,0.84928467,1.92106341,0.713395428,0.846210563,0.341553198,0.847043331,0.852472716,0.341553198,0.847043331,0.852472716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340071255,0.829406417,0.847372722,0.287323764,0.482748738,0.527887596,0.329989766,0.814699734,0.838339193,0.371768015,0.521755615,0.537602457,0.299143145,0.842841961,0.851550437,0.694806924,0.579317536,0.657367867
,BUS7 A-G 75 FAULT,,0.522238434,0.842861435,0.85463709,1.214478909,1.117993501,1.288934404,0.355114702,0.892124361,0.916964086,2.44015566,0.954062294,0.902239977,0.31888742,0.878601007,0.880308632,0.510902274,0.624897336,0.619910173,0.46720094,0.835125983,0.853395746,1.248186707,0.581196115,0.65576922,0.46720094,0.835125983,0.853395746,0.770158635,0.403260997,0.515235958,0.350382626,0.816408814,0.835103687,0.457981049,0.488932451,0.475276688,0.403426788,0.831000026,0.848246047,0.274122771,0.403371252,0.406323717,0.299479542,0.890585611,0.935757211,3.686234718,0.529258498,0.528693223,0.066560863,0.893501346,0.938331591,2.596348975,0.598202976,0.513057562,0.269131033,0.88264455,0.900828833,0.509580128,0.623229212,0.618205207
,BUS46 A-G 50 FAULT,,0.287729233,0.829018054,0.832613185,1.139238488,1.140874115,1.132077906,0.455232035,0.844226591,0.853469335,1.717971173,0.739289049,0.863314395,0.364599767,0.852471927,0.856923104,0.700459607,0.588697061,0.634072896,0.196364632,0.821117558,0.833365256,0.496798288,0.766683495,0.777068061,0.196364632,0.821117558,0.833365256,4.27052296,0.431695779,0.4756318,0.203596357,0.816493772,0.820812417,1.307524679,0.376201723,0.447478983,0.003453994,0.853479074,0.904377697,133.4551372,16.71172328,16.90231031,0.401270342,0.836295092,0.85206058,0.534077498,0.509553973,0.557657556,0.372477032,0.82178275,0.842954943,0.406368112,0.561172715,0.576299839,0.321137287,0.85013496,0.856345168,0.699346198,0.586936206,0.632308898
,BUS6 C-G 100 FAULT,,0.890079761,0.849766365,0.854674321,1.114358088,1.146948129,1.609511037,0.877506107,0.842768004,0.864799875,0.823666107,0.952204798,1.03886495,0.88419876,0.859160273,0.872802116,0.6029774,0.634927077,0.843378703,0.895384417,0.846513799,0.853153261,0.652289304,0.644352259,0.647657,0.895384417,0.846513799,0.853153261,0.484222657,0.522917894,2.066764658,0.833455531,0.827500801,0.833990148,0.444503115,0.456498605,0.837467641,0.894230469,0.883183562,0.845685133,0.576871794,0.520868067,92.43140346,0.87601694,0.842874455,0.864975235,0.477817081,0.541044628,0.554196327,0.852990949,0.840530608,0.857269847,0.507717722,0.565119457,0.616408947,0.878540496,0.85919725,0.873427472,0.601162738,0.633202541,0.84239474
,BUS8 C-G 75 FAULT,,0.858382884,0.830290865,0.854638088,1.04046939,1.209971217,1.37792803,0.900553343,0.863275444,0.864755348,0.855540307,0.901662369,1.211810981,1.071476181,0.975621465,0.872752176,0.655432029,0.554553509,1.0925799,0.859435674,0.824231241,0.853397009,0.620326365,0.667647577,0.655475327,0.859435674,0.824231241,0.853397009,0.420631603,0.550080033,0.884497192,0.822361089,0.812879646,0.835133811,0.451334131,0.418030892,0.407298223,0.843771631,0.835263231,0.848059969,0.37477746,0.309795068,0.847508378,0.90180018,0.865436106,0.864926205,0.511674565,0.556734505,1.508043864,0.913109253,0.871877625,0.855699867,0.536447066,0.580193996,1.536930649,1.092640351,0.975305247,0.87335763,0.653842616,0.552709489,1.092393883
,BUS7 C-G 75 FAULT DATA MISS ,,0.883022493,0.831119889,0.85463709,1.037034625,1.223449773,1.367196919,0,0,0,0,0,0,0.909618837,0.878741299,0.87275324,0.608421463,0.625269262,0.905896204,0.868003472,0.826930826,0.85339578,0.613393564,0.691078929,0.96119667,0.868003472,0.826930826,0.85339578,0.434078556,0.535287132,0.614868299,0,0,0,0,0,0,0.847968198,0.827736414,0.848246084,0.380261323,0.322851014,0.388047069,0,0,0,0,0,0,0,0,0,0,0,0,0.920807251,0.87873493,0.873669175,0.606697951,0.623510115,0.905156689
,BUS7 B-G 10 FAULT DATA MISS ,,0.821591622,0.417010294,0.845313838,1.126394284,2.258387891,0.930452941,0,0,0,0,0,0,0.841124812,0.254772513,0.868657456,0.598320049,1.59130092,0.561283104,0.814686048,0.337305911,0.842565266,0.807103486,0.858743541,0.71371021,0.814686048,0.337305911,0.842565266,0.499501158,0.354992036,0.424243365,0,0,0,0,0,0,0.814459475,0.293418343,0.837586647,0.310163756,0.619092702,0.363510587,0,0,0,0,0,0,0,0,0,0,0,0,0.839806605,0.202283339,0.867030144,0.596541575,1.591608459,0.55943399
,BUS5 B-G 10FAULT,,0.842344585,0.310888338,0.839796138,1.064305831,2.74885574,0.946345493,0.829525677,0.107080448,0.92995629,0.797635854,0.477550533,0.896261039,0.828383522,0.270688157,0.844288059,0.614533416,1.504039274,0.540153442,0.833199598,0.214744729,0.836143887,0.639382485,1.036004362,0.582046575,0.833199598,0.214744729,0.836143887,0.561919757,0.237187927,0.555071011,0.821139032,0.040417752,0.885800075,0.465057746,3.143728654,0.602993165,0.820405636,0.223896761,0.826710859,0.247808327,0.120209998,0.293479885,0.82582476,0.001214856,0.942595054,0.366643558,15558.69175,0.42803663,0.8163249,0.092550916,0.843752733,0.412377799,0.419413455,0.434413965,0.822445463,0.217847969,0.842828615,0.612720288,1.504242451,0.538204366
,BUS7 B-G 50 FAULT DATA MISS ,,0.820906673,0.42640421,0.849404055,1.13537772,2.217413548,0.937702336,0,0,0,0,0,0,0.843596721,0.283225837,0.869486365,0.607939666,1.517771711,0.563691122,0.815470647,0.350250486,0.847304606,0.791040759,0.891516571,0.69266022,0.815470647,0.350250486,0.847304606,0.514037958,0.321084556,0.451072911,0,0,0,0,0,0,0.817179569,0.313692762,0.842203696,0.302908637,0.510465734,0.357205327,0,0,0,0,0,0,0,0,0,0,0,0,0.841917452,0.231490878,0.868548489,0.606224737,1.517891798,0.561826892
